Timestamp,Delta_ms
2025-09-30T18:33:35.8187597Z,0,51
2025-09-30T18:33:35.8493675Z,1,68
2025-09-30T18:33:35.8832200Z,1,03
2025-09-30T18:33:35.9223437Z,1,52
2025-09-30T18:33:35.9708928Z,1,00
2025-09-30T18:33:36.0012544Z,1,01
2025-09-30T18:33:36.0387609Z,1,01
2025-09-30T18:33:36.0531092Z,0,00
2025-09-30T18:33:36.0735772Z,1,00
2025-09-30T18:33:36.0913345Z,0,99
2025-09-30T18:33:36.1285678Z,1,51
2025-09-30T18:33:36.1726456Z,12,72
2025-09-30T18:33:36.2061617Z,1,51
2025-09-30T18:33:36.2280302Z,1,00
2025-09-30T18:33:36.2456773Z,1,00
2025-09-30T18:33:36.2818242Z,1,02
2025-09-30T18:33:36.3220059Z,2,53
2025-09-30T18:33:36.3539537Z,1,02
2025-09-30T18:33:36.3885666Z,1,00
2025-09-30T18:33:36.4237131Z,4,27
2025-09-30T18:33:36.4556155Z,1,52
2025-09-30T18:33:36.5226086Z,2,54
2025-09-30T18:33:36.5505493Z,1,51
2025-09-30T18:33:36.5850355Z,1,01
2025-09-30T18:33:36.6184278Z,1,51
2025-09-30T18:33:36.6650080Z,1,51
2025-09-30T18:33:36.7042277Z,1,01
2025-09-30T18:33:36.7382376Z,1,04
2025-09-30T18:33:36.7694959Z,0,00
2025-09-30T18:33:36.8031716Z,3,08
2025-09-30T18:33:36.8390213Z,0,00
2025-09-30T18:33:36.8897152Z,7,23
2025-09-30T18:33:36.9205758Z,1,52
2025-09-30T18:33:36.9607577Z,2,59
2025-09-30T18:33:36.9865945Z,0,00
2025-09-30T18:33:37.0319127Z,1,51
2025-09-30T18:33:37.0687359Z,4,51
2025-09-30T18:33:37.1036135Z,1,51
2025-09-30T18:33:37.1409462Z,1,01
2025-09-30T18:33:37.1647533Z,1,01
2025-09-30T18:33:37.1984585Z,1,01
2025-09-30T18:33:37.2609090Z,3,05
2025-09-30T18:33:37.3018071Z,5,53
2025-09-30T18:33:37.3370311Z,0,00
2025-09-30T18:33:37.3711132Z,1,57
2025-09-30T18:33:37.4233668Z,3,65
2025-09-30T18:33:37.4489383Z,1,51
2025-09-30T18:33:37.4837366Z,1,68
2025-09-30T18:33:37.5180610Z,1,02
2025-09-30T18:33:37.5544947Z,2,00
2025-09-30T18:33:37.6051824Z,1,00
2025-09-30T18:33:37.6304609Z,0,51
2025-09-30T18:33:37.6650578Z,1,03
2025-09-30T18:33:37.7021067Z,1,00
2025-09-30T18:33:37.7476847Z,13,68
2025-09-30T18:33:37.7866959Z,1,00
2025-09-30T18:33:37.8189506Z,1,00
2025-09-30T18:33:37.8518734Z,2,64
2025-09-30T18:33:37.9056988Z,3,54
2025-09-30T18:33:37.9303625Z,0,00
2025-09-30T18:33:37.9665761Z,0,00
2025-09-30T18:33:38.0019900Z,2,54
2025-09-30T18:33:38.0519680Z,1,00
2025-09-30T18:33:38.0856388Z,2,53
2025-09-30T18:33:38.1185696Z,1,02
2025-09-30T18:33:38.1562450Z,1,52
2025-09-30T18:33:38.2149646Z,3,51
2025-09-30T18:33:38.2518024Z,1,01
