Timestamp,Delta_ms
2025-09-30T18:43:53.4338724Z,8,12
2025-09-30T18:43:53.4870845Z,55,77
2025-09-30T18:43:53.4916202Z,2,54
2025-09-30T18:43:53.5213285Z,30,64
2025-09-30T18:43:53.5228437Z,2,57
2025-09-30T18:43:53.5605690Z,36,49
2025-09-30T18:43:53.5628361Z,3,50
2025-09-30T18:43:53.5926703Z,28,84
2025-09-30T18:43:53.6070514Z,13,37
2025-09-30T18:43:53.6530832Z,48,03
2025-09-30T18:43:53.6561878Z,1,55
2025-09-30T18:43:53.6939179Z,37,27
2025-09-30T18:43:53.6959380Z,4,04
2025-09-30T18:43:53.7249256Z,27,97
2025-09-30T18:43:53.7269633Z,2,04
2025-09-30T18:43:53.7559912Z,28,49
2025-09-30T18:43:53.7580104Z,3,57
2025-09-30T18:43:53.8242786Z,65,64
2025-09-30T18:43:53.8263377Z,2,68
2025-09-30T18:43:53.8400004Z,12,65
2025-09-30T18:43:53.8420141Z,2,03
2025-09-30T18:43:53.8731228Z,31,11
2025-09-30T18:43:53.8761087Z,2,43
2025-09-30T18:43:53.9100238Z,34,47
2025-09-30T18:43:53.9130847Z,2,54
2025-09-30T18:43:53.9371394Z,24,57
2025-09-30T18:43:53.9381419Z,2,00
2025-09-30T18:43:53.9759677Z,35,67
2025-09-30T18:43:53.9907339Z,10,85
2025-09-30T18:43:54.0242599Z,38,58
2025-09-30T18:43:54.0303892Z,4,59
2025-09-30T18:43:54.0528676Z,24,04
2025-09-30T18:43:54.0559220Z,3,03
2025-09-30T18:43:54.0871140Z,32,21
2025-09-30T18:43:54.0891142Z,1,00
2025-09-30T18:43:54.1205336Z,30,40
2025-09-30T18:43:54.1235788Z,4,53
2025-09-30T18:43:54.1637156Z,36,60
2025-09-30T18:43:54.1803894Z,7,62
2025-09-30T18:43:54.2059969Z,37,22
2025-09-30T18:43:54.2095539Z,3,54
2025-09-30T18:43:54.2460666Z,36,52
2025-09-30T18:43:54.2491724Z,3,62
2025-09-30T18:43:54.2693543Z,21,20
2025-09-30T18:43:54.2730031Z,2,64
2025-09-30T18:43:54.3030471Z,31,06
2025-09-30T18:43:54.3060626Z,2,01
2025-09-30T18:43:54.3531654Z,48,11
2025-09-30T18:43:54.3614630Z,6,30
2025-09-30T18:43:54.4065235Z,47,06
2025-09-30T18:43:54.4085397Z,2,02
2025-09-30T18:43:54.4441667Z,34,60
2025-09-30T18:43:54.4482162Z,4,05
2025-09-30T18:43:54.4914651Z,43,28
2025-09-30T18:43:54.4960191Z,3,52
2025-09-30T18:43:54.5374843Z,33,06
2025-09-30T18:43:54.5498738Z,13,95
2025-09-30T18:43:54.5714621Z,29,45
2025-09-30T18:43:54.5745159Z,4,06
2025-09-30T18:43:54.6042141Z,29,70
2025-09-30T18:43:54.6072529Z,2,03
2025-09-30T18:43:54.6415831Z,34,33
2025-09-30T18:43:54.6441119Z,2,51
2025-09-30T18:43:54.6750197Z,30,91
2025-09-30T18:43:54.6805995Z,4,04
2025-09-30T18:43:54.7192353Z,32,01
2025-09-30T18:43:54.7263741Z,14,86
2025-09-30T18:43:54.7556943Z,30,26
2025-09-30T18:43:54.7577077Z,1,52
2025-09-30T18:43:54.7901445Z,31,92
2025-09-30T18:43:54.7939908Z,4,35
2025-09-30T18:43:54.8198506Z,26,36
2025-09-30T18:43:54.8244058Z,5,07
2025-09-30T18:43:54.8544956Z,29,07
2025-09-30T18:43:54.8617171Z,5,67
2025-09-30T18:43:54.9056613Z,42,47
2025-09-30T18:43:54.9131457Z,9,00
2025-09-30T18:43:54.9564552Z,44,83
2025-09-30T18:43:54.9594584Z,3,02
2025-09-30T18:43:54.9887440Z,28,80
2025-09-30T18:43:54.9920197Z,3,75
2025-09-30T18:43:55.0215948Z,29,59
2025-09-30T18:43:55.0231083Z,2,51
2025-09-30T18:43:55.0569670Z,33,86
2025-09-30T18:43:55.0615010Z,3,54
2025-09-30T18:43:55.0883619Z,27,35
2025-09-30T18:43:55.0933428Z,2,53
2025-09-30T18:43:55.1400930Z,48,72
2025-09-30T18:43:55.1475564Z,5,62
2025-09-30T18:43:55.1725798Z,26,88
2025-09-30T18:43:55.1751228Z,2,53
2025-09-30T18:43:55.2075031Z,32,37
2025-09-30T18:43:55.2115265Z,4,04
2025-09-30T18:43:55.2347736Z,24,24
2025-09-30T18:43:55.2383045Z,1,00
2025-09-30T18:43:55.2748969Z,38,12
2025-09-30T18:43:55.2779107Z,3,02
2025-09-30T18:43:55.3276356Z,46,09
2025-09-30T18:43:55.3363265Z,8,73
2025-09-30T18:43:55.4035969Z,70,61
2025-09-30T18:43:55.4083393Z,4,96
2025-09-30T18:43:55.4388790Z,31,57
2025-09-30T18:43:55.4414277Z,2,55
2025-09-30T18:43:55.4750729Z,31,72
2025-09-30T18:43:55.4852260Z,8,54
2025-09-30T18:43:55.5405042Z,57,30
2025-09-30T18:43:55.5430666Z,2,56
2025-09-30T18:43:55.5778798Z,35,33
2025-09-30T18:43:55.5788693Z,1,99
2025-09-30T18:43:55.6035728Z,23,23
2025-09-30T18:43:55.6067833Z,4,69
2025-09-30T18:43:55.6539724Z,41,60
2025-09-30T18:43:55.6661636Z,16,25
2025-09-30T18:43:55.6877947Z,22,16
2025-09-30T18:43:55.6893179Z,2,52
2025-09-30T18:43:55.7263012Z,35,46
