Timestamp,Delta_ms
2025-09-30T18:19:13.4812510Z,1,56
2025-09-30T18:19:13.4888106Z,1,00
2025-09-30T18:19:13.4994455Z,0,00
2025-09-30T18:19:13.5049202Z,0,00
2025-09-30T18:19:13.5115700Z,1,52
2025-09-30T18:19:13.5322903Z,4,17
2025-09-30T18:19:13.5489787Z,0,00
2025-09-30T18:19:13.5565756Z,1,00
2025-09-30T18:19:13.5616256Z,1,00
2025-09-30T18:19:13.5692804Z,0,99
2025-09-30T18:19:13.5754010Z,6,12
2025-09-30T18:19:13.5799296Z,1,00
2025-09-30T18:19:13.5861368Z,5,69
2025-09-30T18:19:13.5917243Z,1,02
2025-09-30T18:19:13.6014481Z,0,99
2025-09-30T18:19:13.6064833Z,0,00
2025-09-30T18:19:13.6114992Z,1,99
2025-09-30T18:19:13.6189053Z,1,00
2025-09-30T18:19:13.6284973Z,1,01
2025-09-30T18:19:13.6537527Z,2,54
2025-09-30T18:19:13.6644271Z,1,52
2025-09-30T18:19:13.6833656Z,1,57
2025-09-30T18:19:13.7074311Z,2,56
2025-09-30T18:19:13.7181544Z,1,02
2025-09-30T18:19:13.7378934Z,3,54
2025-09-30T18:19:13.7475770Z,1,00
2025-09-30T18:19:13.7552534Z,1,01
2025-09-30T18:19:13.7618080Z,1,75
2025-09-30T18:19:13.7715213Z,0,00
2025-09-30T18:19:13.7777799Z,4,55
2025-09-30T18:19:13.7848229Z,1,03
2025-09-30T18:19:13.7924274Z,1,03
2025-09-30T18:19:13.8013640Z,1,02
2025-09-30T18:19:13.8064205Z,1,54
2025-09-30T18:19:13.8206715Z,1,14
2025-09-30T18:19:13.8340009Z,0,51
2025-09-30T18:19:13.8563541Z,0,99
2025-09-30T18:19:13.8621122Z,1,51
2025-09-30T18:19:13.8667062Z,0,00
2025-09-30T18:19:13.8738025Z,1,54
2025-09-30T18:19:13.8778703Z,1,55
2025-09-30T18:19:13.8829313Z,1,51
2025-09-30T18:19:13.8915148Z,1,52
2025-09-30T18:19:13.9017889Z,1,11
2025-09-30T18:19:13.9103950Z,1,00
2025-09-30T18:19:13.9152365Z,1,01
2025-09-30T18:19:13.9203146Z,1,01
2025-09-30T18:19:13.9314722Z,1,07
2025-09-30T18:19:13.9365059Z,0,00
2025-09-30T18:19:13.9415463Z,1,00
2025-09-30T18:19:13.9557416Z,0,51
2025-09-30T18:19:13.9612957Z,0,00
2025-09-30T18:19:13.9663668Z,1,51
2025-09-30T18:19:13.9714020Z,0,00
2025-09-30T18:19:13.9816385Z,2,51
2025-09-30T18:19:13.9963362Z,1,51
2025-09-30T18:19:14.0014893Z,0,00
2025-09-30T18:19:14.0102241Z,1,00
2025-09-30T18:19:14.0142639Z,1,51
2025-09-30T18:19:14.0230278Z,1,01
2025-09-30T18:19:14.0336337Z,10,10
